Frequency,DB(MAG(V(HP_out))),MAG(V(HP_out)),
5011872.336272723,-9.179433154125589e-12,0.9999999999989432,
6309573.444801932,-6.09165660621925e-12,0.9999999999992987,
7943282.347242815,-3.998101676330848e-12,0.9999999999995397,
10000000,-2.59693386742839e-12,0.999999999999701,
12589254.117941672,-1.6721438270035607e-12,0.9999999999998075,
15848931.924611134,-1.0704034878742146e-12,0.9999999999998768,
19952623.149688795,-6.817795188532007e-13,0.9999999999999215,
25118864.3150958,-4.320187050158833e-13,0.9999999999999503,
31622776.60168379,-2.7386900050113786e-13,0.9999999999999685,
39810717.05534972,-1.716502890464868e-13,0.9999999999999802,
50118723.362727225,-1.0993333118707543e-13,0.9999999999999873,
63095734.448019326,-6.943157759183694e-14,0.999999999999992,
79432823.47242814,-4.3394735994898024e-14,0.999999999999995,
